Score,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Min,Sec,Comment
,Player,1,serve,Serve,Flat,131.078278,289,0,0,service_box,ad,far,1.299467,17.46039,service_box,deuce,near,0.890267,0.096491,3.808392,down the T,Out,false,13:57:54,7114.799805,118,35,
,Opponent,1,serve,Serve,Flat,106.7528,290,0,0,service_box,deuce,near,0.961007,5.914674,no_mans_land,deuce,far,-0.920522,22.844816,2.699782,down the T,In,false,13:57:59,7120.200195,118,40,
,Player,0,none,Backhand,Topspin,44.621864,291,0,0,service_box,deuce,far,-0.177805,15.422752,no_mans_land,deuce,near,0.672392,2.606929,1.013951,inside out,In,false,13:58:00,7121.040039,118,41,
,Opponent,1,serve,Serve,Flat,129.495468,292,0,0,no_mans_land,deuce,near,0.12192,4.328683,out,deuce,far,-1.092918,24.988707,2.844962,down the T,Out,false,13:58:11,7132.319824,118,52,
,Player,0,none,Forehand,Topspin,67.820511,293,0,0,no_mans_land,ad,far,1.726969,19.500727,out,ad,near,-0.620697,-1.103441,1.17543,inside out,In,false,13:58:31,7152.240234,119,12,
,Opponent,1,none,Backhand,Topspin,114.161453,293,0,0,no_mans_land,deuce,near,1.934211,2.950739,no_mans_land,ad,far,2.349493,24.961529,1.413829,down the line,In,false,13:58:33,7154.040039,119,14,
,Player,2,none,Forehand,Topspin,81.220627,293,0,0,no_mans_land,deuce,far,-1.727681,20.238787,no_mans_land,deuce,near,1.27041,0.146561,0.848189,cross court,In,false,13:58:34,7155.240234,119,15,
,Opponent,3,none,Forehand,Topspin,94.007179,293,0,0,no_mans_land,ad,near,-1.038107,4.817028,no_mans_land,deuce,far,-2.1257,23.86289,0.96304,down the line,In,false,13:58:35,7156.560059,119,17,
,Player,4,none,Backhand,Topspin,79.657791,293,0,0,no_mans_land,deuce,far,-1.493535,19.040981,no_mans_land,ad,near,-0.890648,1.615173,0.780552,down the line,In,false,13:58:37,7157.759766,119,18,
,Opponent,5,none,Forehand,Topspin,85.489563,293,0,0,no_mans_land,deuce,near,1.014384,3.306296,out,deuce,far,-1.42515,24.998423,0.818765,cross court,In,false,13:58:38,7159.080078,119,19,
,Player,6,none,Forehand,Flat,86.389648,293,0,0,no_mans_land,deuce,far,-2.83947,19.921021,no_mans_land,deuce,near,0.765089,2.027644,0.879694,cross court,In,false,13:58:39,7160.310059,119,20,
,Opponent,7,none,Forehand,Topspin,54.207573,293,0,0,service_box,deuce,near,1.804375,11.447146,no_mans_land,deuce,far,-3.470297,24.531973,0.856387,cross court,In,false,13:58:40,7161.359863,119,21,
,Player,0,none,Forehand,Topspin,86.379532,296,0,0,no_mans_land,deuce,far,-1.091462,22.048962,service_box,deuce,near,0.117707,8.852405,1.478281,cross court,In,false,13:58:58,7178.879883,119,39,
,Opponent,1,serve,Serve,Flat,109.941116,297,0,0,service_box,deuce,near,0.533955,7.16317,no_mans_land,deuce,far,-0.767011,23.816027,2.829044,down the T,In,false,13:59:01,7182.120117,119,42,
,Player,2,return,Backhand,Topspin,56.866505,297,0,0,out,ad_alley,far,4.524024,25.179247,no_mans_land,deuce,near,0.8444,0.823623,0.776186,inside in,Out,false,13:59:01,7182.720215,119,43,
,Player,0,none,Backhand,Topspin,83.12674,298,0,0,no_mans_land,deuce,far,-2.259435,18.926285,out,ad_alley,near,-5.064591,-1.719462,0.955819,down the line,In,false,13:59:33,7214.640137,120,15,
,Opponent,1,none,Forehand,Topspin,119.653496,298,0,0,service_box,deuce,near,2.902009,5.996119,no_mans_land,deuce,far,-0.971402,24.742306,1.22491,cross court,In,false,13:59:35,7216.439941,120,16,
,Opponent,1,serve,Serve,Flat,149.761444,299,0,0,service_box,deuce,near,2.943145,6.502329,no_mans_land,deuce,far,-1.010916,23.595541,2.85512,out wide,In,false,14:00:05,7245.75,120,46,
,Player,2,return,Forehand,Topspin,75.155228,299,0,0,no_mans_land,ad,far,1.03222,23.056828,no_mans_land,deuce_alley,near,4.429522,1.47744,1.006485,down the line,In,false,14:00:05,7246.509766,120,47,
,Opponent,3,serve_plus_one,Backhand,Topspin,80.63707,299,0,0,service_box,ad,far,1.219718,14.148855,no_mans_land,ad,far,0.942283,24.625013,0.720187,cross court,Net,false,14:00:07,7247.879883,120,48,
,Opponent,1,serve,Serve,Flat,192.628922,300,0,0,service_box,ad,near,-2.399599,5.512614,no_mans_land,ad,far,0.32514,23.308676,2.582291,out wide,In,false,14:00:25,7266.359863,121,6,
