,Player,Shot,Type,Stroke,Spin,Speed,Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,Bounce (x)2,Bounce (y)2,ResultOld,Bounce (x)old,Bounce (y)old,Bounce (x)Old,Bounce (y)Old,comment
78,Opponent,2,return,Backhand,Flat,60,31,0,0,service_box,deuce,near,1.770703,6.375612,no_mans_land,ad_alley,far,5.159256,24.372372,1.076147,down the line,In,False,15:02:45,1133.060059,0,,,,,,,,,
79,Player,3,serve_plus_one,Forehand,Topspin,56,31,0,0,no_mans_land,deuce_alley,near,4.546754,23.0,no_mans_land,deuce,near,0.73581,2.401409,0.814534,down the line,Out,False,15:02:47,1134.599976,0,Out,4.546754,23.0,Net,,,4.546754,0.072259,
80,Player,1,first_serve,Serve,Slice,110,32,0,0,service_box,ad,near,-1.658037,6.591698,no_mans_land,deuce,near,0.460588,0.120259,2.456594,out wide,Net,False,15:03:09,1156.579956,-1,,,,,,,,,
81,Player,1,second_serve,Serve,Slice,108,33,0,0,service_box,ad,near,-1.398842,11.49368,no_mans_land,deuce,near,0.277338,1.012485,2.489581,down the T,Net,False,15:03:19,1167.5,0,,,,,,,,,
82,Player,1,first_serve,Serve,Flat,122,34,0,0,service_box,ad_alley,far,4.267701,14.546398,no_mans_land,ad,near,-0.425048,1.482283,2.325328,out wide,Out,False,15:03:44,1192.459961,-1,,,,,,,,,
83,Opponent,0,return,Backhand,Flat,54,34,0,0,service_box,ad,near,-0.596733,6.710789,no_mans_land,ad_alley,far,5.471804,23.192644,1.189767,down the line,In,False,15:03:45,1193.23999,-1,Shot=0,2.0,-2.0,,,,,,
84,Player,1,second_serve,Serve,Slice,109,35,0,0,service_box,ad,far,1.839468,15.11572,service_box,ad,near,-0.426893,0.321975,2.552509,down the T,In,False,15:04:00,1208.199951,1,,,,,,,,,
85,Opponent,2,return,Forehand,Topspin,81,35,0,0,no_mans_land,ad,near,-1.655916,3.056105,out,ad,far,2.931277,25.499182,1.098102,inside out,In,False,15:04:01,1209.140015,1,,,,,,,,,
86,Player,3,serve_plus_one,Backhand,Topspin,74,35,0,0,service_box,ad,far,2.023418,15.436696,no_mans_land,ad,near,-2.253025,0.178806,0.918265,cross court,In,False,15:04:02,1210.47998,1,,,,,,,,,
87,Opponent,4,return_plus_one,Backhand,Flat,107,35,0,0,no_mans_land,ad,near,-1.338442,3.779684,no_mans_land,ad,far,3.813297,24.319132,1.185966,cross court,In,False,15:04:04,1211.859985,1,,,,,,,,,
88,Player,5,in_play,Backhand,Flat,81,35,0,0,service_box,ad,far,0.203403,16.911474,no_mans_land,ad,near,-2.206613,0.66177,0.761459,cross court,In,False,15:04:05,1213.02002,1,,,,,,,,,
89,Opponent,6,in_play,Forehand,Topspin,92,35,0,0,no_mans_land,deuce,near,1.21982,3.716428,no_mans_land,ad,far,1.595814,24.843779,1.108334,inside in,In,False,15:04:06,1214.300049,1,,,,,,,,,
90,Player,7,in_play,Forehand,Topspin,77,35,0,0,service_box,deuce,far,-2.925662,16.42535,no_mans_land,deuce,near,1.314882,-0.379739,0.727443,cross court,In,False,15:04:08,1215.540039,1,,,,,,,,,
91,Opponent,8,in_play,Forehand,Topspin,80,35,0,0,service_box,deuce,near,1.138648,5.537294,out,deuce_alley,far,-4.528909,25.111273,0.844635,down the line,In,False,15:04:09,1216.839966,1,,,,,,,,,
92,Player,9,in_play,Forehand,Topspin,60,35,0,0,no_mans_land,deuce,far,-2.587764,19.833183,no_mans_land,deuce,near,2.334379,0.258516,0.723128,cross court,In,False,15:04:10,1218.280029,1,,,,,,,,,
93,Opponent,10,in_play,Forehand,Topspin,81,35,0,0,no_mans_land,ad_out,near,-5.510662,4.81948,out,deuce_alley,far,-4.889984,25.503973,0.854085,down the line,Out,False,15:04:11,1219.439941,1,,,,,,,,,
94,Player,1,first_serve,Serve,Slice,152,36,0,0,no_mans_land,deuce,far,-0.993035,21.855896,no_mans_land,ad,far,-0.901271,22.984715,1.608326,out wide,Net,False,15:04:36,1244.47998,1,,,,,,,,,swapped srv
95,Opponent,2,return,Forehand,Flat,81,36,0,0,out,deuce,near,0.94129,-0.266006,out,deuce_out,far,-5.500885,25.761091,0.908521,down the line,Out,False,15:04:37,1244.880005,1,,,,,,,,,swapped srv
96,Player,1,first_serve,Serve,Slice,129,37,0,0,service_box,ad,far,1.1,19.0,no_mans_land,ad,near,-1.273473,0.034299,2.602877,down the T,Out,False,15:05:00,1268.199951,-1,Out,1.1,19.0,In,1.117517,16.709742,,,
97,Opponent,0,return,Forehand,Topspin,53,37,0,0,service_box,deuce,far,-0.620502,18.171671,out,ad,far,1.54748,24.989258,0.973807,inside in,Net,False,15:05:01,1268.900024,-1,Shot=0,1.1,19.0,,,,,,
98,Player,1,first_serve,Serve,Slice,82,38,0,0,service_box,ad,far,2.380519,12.795625,no_mans_land,ad,near,-1.287685,0.064707,2.424898,out wide,In,False,15:05:12,1280.380005,1,,,,,,,,,
99,Opponent,2,return,Forehand,Topspin,88,38,0,0,out,ad_out,near,-4.0,0.5,no_mans_land,ad,far,3.851798,23.459352,1.079119,inside in,In,False,15:05:14,1281.780029,1,In,-4.0,0.5,Out,-6.083205,-0.364464,,,
100,Player,3,serve_plus_one,Backhand,Flat,74,38,0,0,service_box,ad,far,3.026701,17.308456,out,ad,near,-3.751368,-0.720819,0.850374,cross court,In,False,15:05:15,1283.099976,1,,,,,,,,,
101,Opponent,4,return_plus_one,Backhand,Flat,96,38,0,0,no_mans_land,ad,near,-0.723375,3.738879,no_mans_land,ad_alley,far,4.664151,24.745218,1.167273,down the line,In,False,15:05:17,1284.660034,1,,,,,,,,,
102,Player,5,in_play,Forehand,Topspin,87,38,0,0,no_mans_land,deuce,far,-2.755128,18.424925,no_mans_land,ad,near,-1.937513,-0.33327,0.887731,inside in,In,False,15:05:18,1285.97998,1,,,,,,,,,
103,Opponent,6,in_play,Forehand,Topspin,82,38,0,0,no_mans_land,deuce,near,1.29762,4.189629,out,deuce,far,-2.82948,25.599833,0.92516,cross court,In,False,15:05:19,1287.099976,1,,,,,,,,,
104,Player,7,in_play,Forehand,Topspin,90,38,0,0,no_mans_land,deuce,far,-2.558634,20.061365,no_mans_land,deuce,near,2.403404,0.280808,0.674235,cross court,In,False,15:05:20,1288.439941,1,,,,,,,,,
105,Opponent,8,in_play,Forehand,Topspin,58,38,0,0,no_mans_land,ad,near,-0.537731,5.037104,out,deuce,far,-3.38767,25.767206,0.775871,down the line,In,False,15:05:22,1289.699951,1,,,,,,,,,
106,Player,9,in_play,Forehand,Topspin,89,38,0,0,no_mans_land,deuce,far,-3.460107,19.103722,no_mans_land,ad,near,-0.433872,0.206575,0.885791,inside in,In,False,15:05:23,1291.380005,1,,,,,,,,,
107,Opponent,1,first_serve,Serve,Flat,160,40,0,0,service_box,deuce,near,0.382115,5.582517,no_mans_land,deuce,far,-0.91962,24.95215,2.817011,down the T,In,False,15:06:06,1334.140015,1,,,,,,,,,
108,Player,2,return,Backhand,Flat,79,40,0,0,no_mans_land,ad,far,1.870523,20.563538,no_mans_land,deuce,near,0.455254,1.60115,0.915604,inside in,In,False,15:06:07,1335.060059,1,,,,,,,,,
109,Opponent,3,serve_plus_one,Forehand,Topspin,81,40,0,0,no_mans_land,ad,near,-1.796968,4.690817,out,deuce,far,-0.09836,25.402655,0.930306,down the line,In,False,15:06:08,1336.380005,1,,,,,,,,,
110,Player,4,return_plus_one,Backhand,Topspin,91,40,0,0,service_box,ad,far,2.105438,16.567656,no_mans_land,ad,near,-2.282207,-0.436586,0.764185,cross court,In,False,15:06:10,1337.839966,1,,,,,,,,,
111,Opponent,5,in_play,Backhand,Topspin,91,40,0,0,no_mans_land,ad,near,-2.276534,4.065905,no_mans_land,ad,far,3.577977,24.586075,1.090143,cross court,In,False,15:06:11,1339.119995,1,,,,,,,,,
112,Player,6,in_play,Backhand,Flat,76,40,0,0,service_box,ad,far,1.917422,15.531389,no_mans_land,ad,near,-3.149532,1.018301,0.421077,cross court,In,False,15:06:12,1340.52002,1,,,,,,,,,
113,Opponent,7,in_play,Backhand,Flat,84,40,0,0,no_mans_land,deuce,near,0.440792,3.984386,no_mans_land,ad,far,3.940387,24.573324,0.905844,down the line,In,False,15:06:14,1341.959961,1,,,,,,,,,
114,Player,8,in_play,Forehand,Topspin,83,40,0,0,no_mans_land,ad,far,2.424205,19.485493,no_mans_land,deuce,near,0.104927,0.910046,0.766784,down the line,In,False,15:06:15,1343.339966,1,,,,,,,,,
115,Opponent,9,in_play,Backhand,Topspin,57,40,0,0,service_box,ad,near,-2.7342,5.660437,out,ad,far,2.821474,25.8627,0.862965,cross court,In,False,15:06:17,1344.800049,1,,,,,,,,,
116,Player,10,in_play,Backhand,Flat,87,40,0,0,service_box,ad,far,3.500748,16.856812,no_mans_land,ad,near,-2.984128,0.302294,0.739888,cross court,In,False,15:06:19,1346.819946,1,,,,,,,,,
117,Opponent,11,in_play,Backhand,Topspin,70,40,0,0,service_box,ad,far,0.167519,12.16304,no_mans_land,ad_alley,far,4.665701,24.313131,0.965418,down the line,Net,False,15:06:20,1348.160034,1,,,,,,,,,
118,Opponent,1,first_serve,Serve,Flat,177,42,0,0,service_box,deuce,near,-0.1,7.4,no_mans_land,ad,far,0.746791,23.939306,2.511938,down the T,Out,False,15:06:52,1379.97998,-2,Out,-0.1,7.4,Out,0.094888,7.412941,,,
