,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
44,Player,1,serve,Serve,Flat,121,13,0,0,service_box,ad,near,-2.168949,5.878427,no_mans_land,ad,far,0.524657,22.927532,2.526663,down the T,In,False,12:56:35,640.960022,1,,,,,,,,,,,swapped srv
45,Opponent,2,return,Forehand,Topspin,87,13,0,0,no_mans_land,ad,far,1.229307,18.496273,out,ad,near,-2.92528,-1.169119,1.143778,inside out,In,False,12:56:36,642.02002,1,,,,,,,,,,,swapped srv
46,Player,3,serve_plus_one,Backhand,Topspin,85,13,0,0,service_box,ad,near,-1.444818,6.218572,out,ad,far,1.744452,25.93162,1.133259,cross court,In,False,12:56:38,643.380005,1,,,,,,,,,,,swapped srv
47,Opponent,4,return_plus_one,Backhand,Flat,86,13,0,0,no_mans_land,deuce,far,-1.289514,18.438148,no_mans_land,ad,near,-1.785998,0.490226,0.879005,down the line,In,False,12:56:39,644.419983,1,,,,,,,,,,,swapped srv
48,Player,5,in_play,Forehand,Topspin,79,13,0,0,service_box,ad,near,-2.29832,7.877698,no_mans_land,deuce,far,-1.797495,24.693748,1.080909,down the line,In,False,12:56:40,645.679993,1,,,,,,,,,,,swapped srv
49,Opponent,6,in_play,Backhand,Flat,77,13,0,0,no_mans_land,ad,far,1.742399,20.332403,no_mans_land,ad,near,-2.221083,0.864671,0.873927,cross court,In,False,12:56:41,646.719971,1,,,,,,,,,,,swapped srv
50,Player,7,in_play,Backhand,Flat,93,13,0,0,service_box,ad,near,-0.800683,6.561992,out,ad,far,2.485239,25.604683,1.174679,cross court,In,False,12:56:43,648.23999,1,,,,,,,,,,,swapped srv
51,Opponent,8,in_play,Backhand,Topspin,67,13,0,0,no_mans_land,ad,far,1.11,24.23,no_mans_land,ad,near,-1.2,0.79,1.016685,cross court,Out,False,12:56:44,649.280029,1,In,1.105323,21.295212,-1.203625,0.785501,Out,1.11,24.23,-1.2,0.79,swapped srv
52,Player,0,none,Forehand,Flat,87,14,0,0,no_mans_land,deuce,far,-1.35891,23.06992,no_mans_land,deuce,near,0.321405,0.936636,1.707098,cross court,In,False,12:56:52,657.820007,1,,,,,,,,,,,
53,Player,1,serve,Serve,Flat,119,15,0,0,service_box,ad,far,3.486096,11.88,no_mans_land,deuce,far,-1.35891,24.278708,2.545452,out wide,Net,False,12:57:08,673.380005,-1,,,,,,,,,,,swapped srv
54,Player,1,serve,Serve,Slice,56,16,0,0,service_box,deuce,near,1.397848,6.846193,no_mans_land,deuce,far,-1.198277,24.415806,2.91775,down the T,In,False,12:57:18,683.460022,1,,,,,,,,,,,swapped srv
55,Opponent,2,return,Forehand,Flat,87,16,0,0,no_mans_land,ad,far,1.53,24.23,no_mans_land,deuce,near,1.91,-0.05,1.149564,down the line,Out,False,12:57:20,685.159973,1,In,1.533076,21.718388,1.908999,-0.054372,Out,1.53,24.23,1.91,-0.05,swapped srv
56,Player,1,serve,Serve,Flat,166,17,0,0,service_box,ad,near,-3.619113,6.362315,out,ad,far,0.959712,25.060539,2.568828,out wide,In,False,12:57:37,703.059998,0,,,,,,,,,,,swapped srv
57,Opponent,2,return,Backhand,Flat,100,17,0,0,no_mans_land,deuce,far,-1.218256,22.377008,out,ad_alley,near,-4.410083,-0.556458,0.921859,down the line,In,False,12:57:38,703.719971,0,,,,,,,,,,,swapped srv
58,Player,3,serve_plus_one,Forehand,Topspin,95,17,0,0,no_mans_land,deuce,far,-1.126751,11.88,no_mans_land,deuce,far,-1.218256,23.585796,0.401628,cross court,Net,False,12:57:39,704.580017,0,,,,,,,,,,,swapped srv
59,Opponent,0,return_plus_one,Backhand,Flat,109,17,0,0,out,deuce,near,2.070601,-0.301801,no_mans_land,deuce,far,-0.720006,24.575399,1.165694,inside out,Out,False,12:57:40,705.47998,0,,,,,,,,,,,swapped srv
60,Player,1,serve,Serve,Slice,106,18,0,0,service_box,deuce,near,4.61,5.92,no_mans_land,deuce,far,-1.25,24.51,2.705745,out wide,Out,False,12:58:02,727.659973,-1,In,3.915009,5.916289,-1.25346,24.509888,Out,4.61,5.92,-1.25,24.51,swapped srv
61,Player,1,serve,Serve,Flat,46,19,0,0,service_box,deuce,near,2.021809,7.193664,out,deuce,far,-1.816424,25.018927,2.578414,down the T,In,False,12:58:12,737.679993,0,,,,,,,,,,,swapped srv
62,Opponent,2,return,Forehand,Topspin,70,19,0,0,no_mans_land,ad,far,0.522251,19.166372,out,deuce,near,3.3651,-1.209575,1.178157,down the line,In,False,12:58:14,739.859985,0,,,,,,,,,,,swapped srv
63,Player,3,serve_plus_one,Backhand,Flat,87,19,0,0,service_box,ad,near,-2.601129,6.472188,no_mans_land,deuce,far,-0.760591,24.927528,1.340733,inside in,In,False,12:58:16,741.400024,0,,,,,,,,,,,swapped srv
64,Opponent,4,return_plus_one,Backhand,Flat,82,19,0,0,service_box,ad,far,1.748336,15.067181,no_mans_land,ad_alley,near,-4.23888,-0.507289,0.763681,down the line,In,False,12:58:17,742.820007,0,,,,,,,,,,,swapped srv
65,Player,5,in_play,Backhand,Topspin,91,19,0,0,no_mans_land,ad,near,-2.775966,4.384004,no_mans_land,ad,far,4.051191,24.083921,1.04582,cross court,In,False,12:58:19,744.380005,0,,,,,,,,,,,swapped srv
