,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
342,Player,6,in_play,Forehand,Slice,54,125,0,0,no_mans_land,ad,near,-2.651205,3.839558,out,deuce,far,-3.385092,25.71701,1.06661,down the line,In,False,16:35:16,3390.679932,0,,,,,,,,,,,
343,Opponent,7,in_play,Forehand,Topspin,100,125,0,0,no_mans_land,deuce,far,-2.269918,19.281204,no_mans_land,ad,near,-2.160142,1.484907,1.08434,inside in,In,False,16:35:18,3392.76001,0,,,,,,,,,,,
344,Player,8,in_play,Forehand,Slice,58,125,0,0,no_mans_land,deuce,near,1.185778,4.809042,out,deuce,far,-2.238112,26.099199,0.817489,cross court,In,False,16:35:19,3393.919922,0,,,,,,,,,,,
345,Opponent,9,in_play,Forehand,Topspin,80,125,0,0,no_mans_land,ad,far,3.367826,19.119789,no_mans_land,deuce,near,1.383575,2.509086,1.042392,down the line,In,False,16:35:21,3395.780029,0,,,,,,,,,,,
346,Player,10,in_play,Backhand,Slice,63,125,0,0,no_mans_land,ad,near,-4.5,1.658449,out,ad,far,3.828745,25.726816,1.050244,cross court,Out,False,16:35:22,3396.97998,0,Out,In,-3.842092,1.658449,-4.5,1.658449,,,,,
347,Opponent,1,serve,Serve,Kick,111,126,0,0,service_box,deuce,far,-1.49457,13.816083,no_mans_land,deuce,near,0.533293,1.321703,2.311986,down the T,In,False,16:35:58,3432.159912,0,,,,,,,,,,,
348,Player,2,return,Backhand,Flat,55,126,0,0,no_mans_land,ad_alley,near,-5.460773,5.370378,no_mans_land,deuce,far,-2.521588,24.109018,1.603528,inside in,Out,False,16:35:58,3432.860107,0,,,,,,,,,,,
349,Opponent,1,serve,Serve,Flat,107,127,0,0,service_box,deuce,far,-0.332848,12.632781,no_mans_land,ad,near,-1.143298,0.532199,2.509607,down the T,Out,False,16:36:27,3461.76001,-2,,,,,,,,,,,
350,Opponent,1,serve,Serve,Slice,104,128,0,0,service_box,ad,far,1.898822,14.325098,no_mans_land,ad,near,-0.948126,-0.104786,2.601068,out wide,Let,False,16:36:43,3477.120117,-1,Let,In,1.898822,14.325098,1.898822,14.325098,,,,,
351,Player,0,return,Backhand,Flat,86,128,0,0,no_mans_land,deuce,near,1.678478,5.4864,out,ad,far,3.619603,25.557627,1.041038,down the line,In,False,16:36:44,3478.060059,-1,,,,,,,,,,,
