,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
46,Player,1,serve,Serve,Flat,92,17,0,0,service_box,deuce,near,0.764571,5.490866,no_mans_land,deuce,far,-1.453392,24.155844,2.729651,down the T,In,False,14:33:50,6180.660004,1,316.660004,,,,,,,,,,,
47,Opponent,-1,serve,Serve,Flat,176,18,0,0,service_box,deuce,near,0.397764,11.88,service_box,deuce,near,0.328106,0.274028,1.209816,down the T,Net,False,14:34:10,6200.26001,-2,336.26001,,invalid,,,,,,,,,
48,Player,1,serve,Serve,Slice,135,19,0,0,service_box,ad,near,-2.463347,7.928296,no_mans_land,ad,far,0.792526,23.957426,2.379112,out wide,In,False,14:34:19,6209.600006,1,345.600006,,,,,,,,,,,
49,Opponent,2,return,Backhand,Topspin,95,19,0,0,no_mans_land,ad,far,0.029954,20.561861,no_mans_land,ad,near,-3.843102,1.873543,1.206728,cross court,In,False,14:34:20,6210.579987,1,346.579987,,,,,,,,,,,
50,Player,3,serve_plus_one,Forehand,Topspin,82,19,0,0,no_mans_land,deuce,near,1.960481,2.834832,out,ad,far,0.702472,25.541473,1.14779,inside in,In,False,14:34:21,6211.940002,1,347.940002,,,,,,,,,,,
51,Opponent,4,return_plus_one,Forehand,Flat,91,19,0,0,service_box,deuce,far,-1.81995,18.148987,no_mans_land,deuce,near,1.78887,-0.20312,1.085457,cross court,In,False,14:34:23,6213.200012,1,349.200012,,,,,,,,,,,
52,Player,5,in_play,Forehand,Topspin,92,19,0,0,service_box,deuce,near,2.205591,6.720218,out,deuce,far,-3.364642,25.573376,0.884976,cross court,In,False,14:34:24,6214.5,1,350.5,,,,,,,,,,,
53,Player,1,serve,Serve,Flat,110,20,0,0,service_box,deuce,near,4.61,8.45,no_mans_land,deuce,far,-0.97,23.54,2.654258,out wide,Out,False,14:34:48,6239.119995,-1,375.119995,Out,,In,3.671982,8.451076,-0.973952,23.536402,4.61,8.45,-0.97,23.54
54,Opponent,0,none,Forehand,Slice,96,21,0,0,no_mans_land,ad,near,-0.268408,3.675335,no_mans_land,deuce_alley,near,4.656559,-0.27978,1.18053,down the line,Net,False,14:34:49,6239.940002,1,375.940002,,,,,,,,,,,
55,Player,1,serve,Serve,Flat,171,22,0,0,service_box,deuce,near,0.926169,6.538485,no_mans_land,deuce,far,-0.928147,23.359968,2.498718,down the T,In,False,14:35:01,6251.279999,0,387.279999,,,,,,,,,,,
56,Opponent,2,return,Backhand,Flat,90,22,0,0,no_mans_land,ad,far,1.238351,20.406487,no_mans_land,deuce,near,1.207726,1.104383,1.035043,inside in,In,False,14:35:01,6252.079987,0,388.079987,,,,,,,,,,,
57,Player,3,serve_plus_one,Backhand,Topspin,89,22,0,0,no_mans_land,ad,near,-0.217256,4.444138,out,ad,far,0.786501,25.444683,1.120664,cross court,In,False,14:35:02,6253.140015,0,389.140015,,,,,,,,,,,
58,Opponent,4,return_plus_one,Forehand,Flat,87,22,0,0,no_mans_land,deuce,far,-3.113935,19.173023,no_mans_land,ad,near,-0.784046,-0.308651,0.935573,inside in,In,False,14:35:04,6254.399994,0,390.399994,,,,,,,,,,,
59,Player,5,in_play,Forehand,Slice,59,22,0,0,no_mans_land,deuce,near,2.68552,2.454402,out,deuce,far,-3.643014,25.598518,0.80281,cross court,In,False,14:35:05,6255.76001,0,391.76001,,,,,,,,,,,
60,Opponent,6,in_play,Forehand,Topspin,91,22,0,0,no_mans_land,deuce,far,-2.379489,18.7635,no_mans_land,deuce,near,2.828065,0.31386,0.818603,cross court,In,False,14:35:08,6258.339996,0,394.339996,,,,,,,,,,,
61,Opponent,0,none,Feed,Flat,33,23,0,0,no_mans_land,deuce,near,0.628168,11.88,no_mans_land,deuce,near,0.237026,4.126955,1.589044,---,Net,False,14:35:17,6267.940002,1,403.940002,,cancelled,,,,,,,,,
62,Opponent,0,none,Forehand,Topspin,68,23,0,0,no_mans_land,deuce,near,0.147391,11.88,out,deuce,near,0.924391,-1.295365,0.814699,cross court,Net,False,14:35:19,6269.220001,1,405.220001,,cancelled,,,,,,,,,
63,Opponent,0,none,Forehand,Topspin,85,23,0,0,service_box,deuce,near,2.178129,11.88,no_mans_land,ad,near,-0.429646,-0.474233,2.382036,inside in,Net,False,14:35:20,6270.579987,1,406.579987,,cancelled,,,,,,,,,
64,Opponent,0,none,Forehand,Topspin,60,24,0,0,no_mans_land,deuce,far,-0.008211,20.839523,no_mans_land,ad,near,-0.053338,3.971902,1.567181,inside in,In,False,14:35:31,6281.380005,0,417.380005,,,,,,,,,,,
65,Player,1,serve,Serve,Flat,192,25,0,0,service_box,deuce,far,-1.844589,11.88,no_mans_land,ad,far,-0.008211,23.592459,2.06635,out wide,Net,False,14:35:38,6288.179993,-1,424.179993,,,,,,,,,,,
66,Player,1,serve,Serve,Flat,171,26,0,0,service_box,ad,near,-2.491405,7.893839,no_mans_land,ad,far,0.097864,23.664536,2.28254,out wide,In,False,14:35:47,6297.940002,1,433.940002,,,,,,,,,,,
67,Opponent,2,return,Backhand,Flat,89,26,0,0,no_mans_land,ad,far,2.233829,18.473482,no_mans_land,ad,near,-3.848807,0.175408,1.130286,cross court,In,False,14:35:48,6298.640015,1,434.640015,,,,,,,,,,,
68,Player,3,serve_plus_one,Backhand,Topspin,80,26,0,0,no_mans_land,deuce,near,2.70964,3.452642,no_mans_land,ad,far,3.687583,22.084925,1.028872,down the line,In,False,14:35:49,6299.859985,1,435.859985,,,,,,,,,,,
69,Opponent,4,return_plus_one,Forehand,Topspin,86,26,0,0,no_mans_land,ad_alley,far,4.625268,22.015209,no_mans_land,deuce,near,2.476814,0.224936,0.622075,down the line,Out,False,14:35:50,6301.040009,1,437.040009,,,,,,,,,,,
